# ----------------------------------------
# Training website
# All
# 20181101-20210726
# ----------------------------------------

Month Index,Users
0024,"37,306"
0023,"31,753"
0017,"26,098"
0018,"24,937"
0022,"22,637"
0019,"22,610"
0016,"22,007"
0020,"21,998"
0015,"21,135"
0012,"19,985"
0014,"19,796"
0021,"19,703"
0013,"18,170"
0011,"18,153"
0010,"13,235"
0006,"12,012"
0008,"11,101"
0005,"10,985"
0009,"10,305"
0007,"10,115"
0004,"9,850"
0003,"7,402"
0002,"6,507"
0000,"6,175"
0001,"5,933"
0028,"1,271"
0031,"1,243"
0029,"1,220"
0030,"1,197"
0027,"1,004"
0026,942
0025,850
0032,826
