# ----------------------------------------
# Training website
# Genome annotation
# 20181101-20210726
# ----------------------------------------

Month Index,Users
0024,"2,197"
0023,"1,923"
0017,"1,622"
0018,"1,486"
0019,"1,459"
0016,"1,456"
0012,"1,445"
0022,"1,408"
0015,"1,401"
0011,"1,390"
0020,"1,301"
0014,"1,276"
0013,"1,217"
0021,"1,165"
0005,"1,156"
0006,"1,138"
0004,"1,017"
0010,"1,002"
0008,813
0007,808
0003,766
0009,745
0002,539
0000,312
0001,291
0029,79
0031,78
0030,75
0028,70
0027,54
0026,50
0032,44
0025,41
