# ----------------------------------------
# Training website
# Introduction
# 20181101-20210726
# ----------------------------------------

Month Index,Users
0024,"4,297"
0023,"4,049"
0017,"4,038"
0018,"3,768"
0016,"3,676"
0015,"3,437"
0012,"3,316"
0019,"3,265"
0022,"3,247"
0014,"3,244"
0020,"3,103"
0013,"2,914"
0011,"2,889"
0021,"2,516"
0010,"2,383"
0000,"2,223"
0005,"2,197"
0004,"2,125"
0006,"2,097"
0008,"1,960"
0009,"1,814"
0003,"1,799"
0002,"1,764"
0007,"1,738"
0001,"1,691"
0030,112
0028,103
0029,87
0031,79
0027,73
0025,61
0026,60
0032,58
