# ----------------------------------------
# Training website
# Metagenomics 
# 20181101-20210726
# ----------------------------------------

Month Index,Users
0024,"2,233"
0023,"1,822"
0015,"1,676"
0016,"1,601"
0017,"1,556"
0012,"1,517"
0018,"1,469"
0014,"1,436"
0022,"1,408"
0019,"1,405"
0011,"1,399"
0020,"1,297"
0013,"1,220"
0021,"1,173"
0005,"1,169"
0006,"1,061"
0004,"1,053"
0010,"1,003"
0008,948
0009,905
0000,888
0003,871
0007,859
0002,717
0001,665
0026,115
0028,114
0029,111
0030,108
0031,101
0027,90
0032,73
0025,72
