# ----------------------------------------
# Training website
# Sequence analysis
# 20181101-20210726
# ----------------------------------------

Month Index,Users
0024,"3,728"
0017,"3,045"
0023,"3,002"
0018,"2,848"
0012,"2,456"
0011,"2,440"
0016,"2,433"
0022,"2,310"
0015,"2,297"
0019,"2,290"
0020,"2,160"
0014,"2,112"
0013,"1,989"
0021,"1,907"
0006,"1,720"
0004,"1,695"
0005,"1,675"
0010,"1,671"
0008,"1,416"
0003,"1,395"
0007,"1,355"
0009,"1,237"
0002,"1,223"
0000,"1,011"
0001,948
0028,156
0027,131
0029,125
0030,117
0026,110
0031,99
0025,71
0032,51
