# ----------------------------------------
# Training website
# Transcriptomics 
# 20181101-20210726
# ----------------------------------------

Month Index,Users
0024,"15,105"
0023,"11,977"
0017,"10,564"
0018,"10,361"
0019,"8,885"
0020,"8,519"
0016,"8,318"
0022,"8,142"
0015,"7,811"
0021,"7,366"
0014,"6,971"
0012,"6,644"
0011,"6,551"
0013,"6,461"
0010,"5,099"
0006,"4,931"
0008,"4,390"
0009,"4,084"
0007,"4,045"
0005,"3,645"
0004,"2,561"
0001,"1,983"
0003,"1,644"
0002,"1,436"
0000,"1,245"
0031,363
0028,362
0029,359
0030,352
0032,293
0027,269
0025,256
0026,235
