# ----------------------------------------
# Training website
# Variant analysis
# 20181101-20210726
# ----------------------------------------

Month Index,Users
0024,"1,902"
0023,"1,802"
0018,"1,603"
0012,"1,443"
0019,"1,413"
0017,"1,378"
0016,"1,358"
0020,"1,356"
0022,"1,287"
0015,"1,273"
0011,"1,249"
0013,"1,188"
0014,"1,184"
0021,"1,166"
0010,"1,000"
0008,897
0006,847
0009,845
0004,831
0007,830
0005,817
0003,600
0002,598
0000,550
0001,461
0028,72
0031,72
0029,67
0027,64
0030,63
0026,54
0032,42
0025,34
