,Topics,Introduction slide decks,Tutorials,Workflows,Data on Zenodo
2016-08,,,,,
2016-09,,,,,
2016-10,,,,,
2016-11,,,,,
2016-12,,,,,
2017-01,,,,,
2017-02,,,,,
2017-03,,,,,
2017-04,,,,,
2017-05,11.0,11.0,42.0,18.0,0.0
2017-06,13.0,13.0,64.0,24.0,1.0
2017-07,13.0,13.0,63.0,23.0,1.0
2017-08,13.0,13.0,63.0,23.0,1.0
2017-09,13.0,13.0,63.0,24.0,1.0
2017-10,13.0,13.0,68.0,27.0,1.0
2017-11,13.0,13.0,68.0,27.0,1.0
2017-12,13.0,12.0,69.0,27.0,1.0
2018-01,12.0,11.0,71.0,27.0,1.0
2018-02,12.0,11.0,74.0,28.0,1.0
2018-03,12.0,11.0,76.0,30.0,1.0
2018-04,12.0,11.0,76.0,31.0,1.0
2018-05,12.0,11.0,77.0,32.0,1.0
2018-06,14.0,11.0,86.0,32.0,2.0
2018-07,15.0,16.0,91.0,32.0,2.0
2018-08,16.0,9.0,85.0,33.0,55.0
2018-09,16.0,9.0,87.0,36.0,58.0
2018-10,16.0,9.0,90.0,38.0,61.0
2018-11,18.0,10.0,92.0,39.0,61.0
2018-12,18.0,10.0,94.0,41.0,63.0
2019-01,18.0,10.0,116.0,43.0,67.0
2019-02,18.0,10.0,124.0,46.0,72.0
2019-03,18.0,10.0,128.0,49.0,76.0
2019-04,18.0,10.0,128.0,53.0,81.0
2019-05,19.0,11.0,132.0,56.0,85.0
2019-06,19.0,11.0,136.0,57.0,86.0
2019-07,20.0,11.0,142.0,62.0,90.0
2019-08,21.0,11.0,145.0,64.0,92.0
2019-09,20.0,11.0,150.0,67.0,96.0
2019-10,20.0,11.0,152.0,68.0,98.0
2019-11,20.0,11.0,155.0,72.0,101.0
2019-12,20.0,11.0,159.0,74.0,105.0
2020-01,21.0,12.0,162.0,75.0,108.0
2020-02,21.0,12.0,164.0,77.0,110.0
2020-03,22.0,12.0,169.0,81.0,115.0
2020-04,22.0,12.0,169.0,81.0,115.0
2020-05,22.0,12.0,176.0,85.0,122.0
2020-06,22.0,12.0,178.0,85.0,124.0
2020-07,21.0,12.0,184.0,88.0,130.0
2020-08,21.0,12.0,185.0,88.0,131.0
2020-09,21.0,12.0,184.0,87.0,130.0
2020-10,21.0,13.0,190.0,96.0,135.0
2020-11,21.0,13.0,193.0,98.0,137.0
2020-12,21.0,13.0,195.0,100.0,140.0
2021-01,21.0,13.0,195.0,101.0,140.0
2021-02,21.0,14.0,208.0,108.0,147.0
2021-03,21.0,14.0,213.0,113.0,153.0
2021-04,21.0,14.0,218.0,118.0,158.0
2021-05,21.0,14.0,223.0,119.0,160.0
2021-06,21.0,14.0,234.0,123.0,167.0
